ORF,Gene,Ch,Mean,sd,Mean,sd,3153A,p.paired,3153A,sd,start,end,strand,
orf19.4702,,4,16.1 ,0.027 ,21.7 ,0.027 ,1.0 ,0.819433123,1.0 ,0.027 ,167607,166705,C,
orf19.4701,,4,24.4 ,0.043 ,15.8 ,0.043 ,1.0 ,0.415361481,1.0 ,0.043 ,168468,169394,W,
orf19.4699,,4,960.7 ,0.041 ,867.0 ,0.041 ,0.9 ,0.565011592,1.0 ,0.041 ,171505,169448,C,
orf19.4698,PTC8,4,1710.9 ,0.054 ,1333.7 ,0.054 ,0.8 ,0.008008936,1.0 ,0.054 ,174443,175708,W,
orf19.4697,MDN1,4,1006.1 ,0.035 ,1124.3 ,0.035 ,1.1 ,0.337495475,1.0 ,0.035 ,191174,176061,C,
orf19.4691,,4,153.7 ,0.057 ,170.0 ,0.057 ,1.1 ,0.867541212,1.0 ,0.057 ,192792,192187,C,
orf19.4690,,4,1177.3 ,0.051 ,711.0 ,0.051 ,0.6 ,0.096746119,1.0 ,0.051 ,195209,196942,W,
orf19.4689,PGA57,4,1516.1 ,0.051 ,1134.5 ,0.051 ,0.7 ,0.019706783,1.0 ,0.051 ,197792,197148,C,
orf19.4688,DAG7,4,851.5 ,0.043 ,3708.5 ,0.043 ,4.4 ,0.019713324,1.0 ,0.043 ,200233,199478,C,
orf19.4686,,4,1021.3 ,0.042 ,950.5 ,0.042 ,0.9 ,0.371986196,1.0 ,0.042 ,206038,202436,C,
orf19.4685,,4,275.7 ,0.046 ,394.7 ,0.046 ,1.4 ,0.252086849,1.0 ,0.046 ,206797,207114,W,
orf19.4684.2,RPL40B,4,10730.7 ,0.125 ,12020.9 ,0.125 ,1.1 ,0.761195879,1.0 ,0.125 ,208643,208485,C,
orf19.4683,MLP1,4,2455.6 ,0.037 ,1785.9 ,0.037 ,0.7 ,0.016382174,1.0 ,0.037 ,209114,214612,W,
orf19.4682,HGT17,4,8427.0 ,0.057 ,9047.8 ,0.057 ,1.1 ,0.720460349,1.0 ,0.057 ,217149,218987,W,
orf19.4681,RAT1,4,853.5 ,0.057 ,681.4 ,0.057 ,0.8 ,0.172633613,1.0 ,0.057 ,219462,222368,W,
orf19.4680,,4,135.1 ,0.044 ,179.7 ,0.044 ,1.3 ,0.13048583,1.0 ,0.044 ,223559,222414,C,
orf19.4679,AGP2,4,788.6 ,0.055 ,1193.6 ,0.055 ,1.5 ,0.016088598,1.0 ,0.055 ,225566,223860,C,
orf19.4678,,4,432.9 ,0.078 ,523.9 ,0.078 ,1.2 ,0.117976997,1.0 ,0.078 ,229004,228003,C,
orf19.4677,,4,253.6 ,0.053 ,288.0 ,0.053 ,1.1 ,0.355650833,1.0 ,0.053 ,229969,229259,C,
orf19.4676,,4,260.5 ,0.077 ,301.5 ,0.077 ,1.2 ,0.395102907,1.0 ,0.077 ,231137,230595,C,
orf19.4675,,4,215.6 ,0.083 ,147.6 ,0.083 ,0.7 ,0.12760195,1.0 ,0.083 ,231171,232955,W,
orf19.4673,BMT9,4,3.4 ,0.056 ,24.5 ,0.056 ,1.0 ,0.077372939,1.0 ,0.056 ,236764,234413,C,
orf19.4672,,4,34.9 ,0.107 ,50.0 ,0.107 ,1.0 ,0.360167862,1.0 ,0.107 ,240313,240615,W,
orf19.4670,CAS5,4,1115.1 ,0.035 ,885.8 ,0.035 ,0.8 ,0.15267055,1.0 ,0.035 ,241405,243870,W,
orf19.4669,AAT22,4,472.8 ,0.045 ,597.7 ,0.045 ,1.3 ,0.600382372,1.0 ,0.045 ,245382,244153,C,
orf19.4668,,4,73.8 ,0.122 ,101.5 ,0.122 ,1.4 ,0.270783835,1.0 ,0.122 ,248280,246127,C,
orf19.4666,,4,122.8 ,0.085 ,187.5 ,0.085 ,1.5 ,0.416955598,1.0 ,0.085 ,249238,248828,C,
orf19.4665,,4,219.4 ,0.070 ,351.8 ,0.070 ,1.6 ,0.379437148,1.0 ,0.070 ,250645,250043,C,
orf19.4664,NAT4,4,428.5 ,0.071 ,610.0 ,0.071 ,1.4 ,0.019902861,1.0 ,0.071 ,250950,251564,W,
orf19.4662,RLM1,4,122.4 ,0.112 ,71.1 ,0.112 ,0.6 ,0.139215286,1.1 ,0.112 ,253048,254883,W,
orf19.4660,RPS6A,4,29691.8 ,0.043 ,26541.8 ,0.043 ,0.9 ,0.902408785,1.0 ,0.043 ,255674,256809,W,
orf19.4659,,4,112.6 ,0.048 ,148.5 ,0.048 ,1.3 ,0.088563167,1.0 ,0.048 ,258350,257073,C,
orf19.4658,,4,389.0 ,0.050 ,645.1 ,0.050 ,1.7 ,0.364898996,1.0 ,0.050 ,258971,261361,W,
orf19.4657,,4,2638.5 ,0.061 ,2511.2 ,0.061 ,1.0 ,0.562417191,1.0 ,0.061 ,263911,265413,W,
orf19.4656,,4,67.5 ,0.049 ,44.1 ,0.049 ,1.0 ,0.166491969,1.0 ,0.049 ,266125,268023,W,
orf19.4655,OPT6,4,363.9 ,0.087 ,240.6 ,0.087 ,0.7 ,0.024616716,1.0 ,0.087 ,270892,268055,C,
orf19.4654,,4,1.5 ,0.043 ,52.6 ,0.043 ,1.0 ,0.194542132,1.0 ,0.043 ,272098,272427,W,
orf19.4653,,4,37.0 ,0.057 ,263.5 ,0.057 ,7.1 ,0.005022938,1.0 ,0.057 ,273296,273625,W,
orf19.4652,,4,0.0 ,0.065 ,9.1 ,0.065 ,1.0 ,0.422649731,0.9 ,0.065 ,274725,275036,W,
orf19.4651,PGA53,4,3499.4 ,0.056 ,4252.1 ,0.056 ,1.2 ,0.234503461,1.0 ,0.056 ,278273,278692,W,
orf19.4650,ILV6,4,2868.6 ,0.050 ,2682.7 ,0.050 ,0.9 ,0.262318746,1.0 ,0.050 ,280567,281478,W,
orf19.4649,ZCF27,4,169.7 ,0.050 ,172.1 ,0.050 ,1.0 ,0.392909123,1.0 ,0.050 ,283245,286835,W,
orf19.4647,HAP3,4,27.9 ,0.116 ,25.8 ,0.116 ,1.0 ,0.502467234,1.0 ,0.116 ,287709,288817,W,
orf19.4646,UEC1,4,0.0 ,0.037 ,0.0 ,0.037 ,1.0 ,NA,1.0 ,0.037 ,291302,291739,W,
orf19.4645,BEM1,4,325.4 ,0.051 ,295.5 ,0.051 ,0.9 ,0.945697473,1.0 ,0.051 ,292116,294014,W,
orf19.4643,,4,559.7 ,0.051 ,605.7 ,0.051 ,1.1 ,0.40911059,1.0 ,0.051 ,294807,301958,W,
orf19.4642,,4,66.0 ,0.041 ,78.1 ,0.041 ,1.0 ,0.82962369,1.0 ,0.041 ,303347,302091,C,
orf19.4641,NMT1,4,823.9 ,0.055 ,749.3 ,0.055 ,0.9 ,0.775959279,1.0 ,0.055 ,303654,305009,W,
orf19.4640,PWP1,4,1911.5 ,0.073 ,1744.3 ,0.073 ,0.9 ,0.732016801,1.0 ,0.073 ,305343,307184,W,
orf19.4639,,4,1183.3 ,0.057 ,1726.9 ,0.057 ,1.5 ,0.003619844,1.0 ,0.057 ,307948,307274,C,
orf19.4637,,4,127.9 ,0.092 ,161.5 ,0.092 ,1.3 ,0.261138631,1.0 ,0.092 ,308265,309626,W,
orf19.4636,,4,0.0 ,0.049 ,13.7 ,0.049 ,1.0 ,0.18373739,1.0 ,0.049 ,309905,309483,C,
orf19.4635,NIP1,4,1063.8 ,0.050 ,849.7 ,0.050 ,0.8 ,0.394736718,0.9 ,0.050 ,310023,312647,W,
orf19.4634,,4,1171.9 ,0.070 ,1054.4 ,0.070 ,0.9 ,0.138938476,1.0 ,0.070 ,313048,314235,W,
