"","ORF","Gene","Ch","Mean","sd","Mean.1","sd.1","X3153A","p.paired","X3153A.1","sd.2","start","end","strand","X"
"78","orf19.4161","","4",733.1,432.377525909576,695.3,477.233050288528,0.9,0.649773946,1,0.058,142987,144102,"W",NA
"79","orf19.4160","","4",659.9,184.562504918966,633.8,213.831102249855,1,0.547836993,1,0.035,145508,144156,"C",NA
"80","orf19.4159","","4",285.4,54.4936728832487,338.7,83.8341177757342,1.2,0.186505373,1.1,0.048,146332,147432,"W",NA
"81","orf19.4157","SPS20","4",5153.2,2769.70718445857,4362.5,2432.19874314374,0.8,0.251749148,1,0.063,148176,149048,"W",NA
"82","orf19.4711","","4",1069.3,800.459923512804,1164.3,938.688990314537,1.1,0.955588392,1.1,0.112,150357,152171,"W",NA
"83","orf19.4707","","4",199.1,69.6914557760803,185.8,112.015035429555,0.9,0.352738875,1,0.089,154610,152472,"C",NA
"84","orf19.4706","","4",3342.6,668.655173700382,4684.4,1061.44790290445,1.4,0.013818098,1,0.054,156363,155866,"C",NA
"85","orf19.4705","","4",703.3,393.282339710803,613.8,363.575912194482,0.9,0.517189478,1,0.055,157322,158917,"W",NA
"86","orf19.4704","ARO1","4",1595,628.171601375774,1823.6,865.725242637404,1.1,0.334000043,1,0.043,159251,163906,"W",NA
"87","orf19.4703","","4",482.3,434.769385062815,339.6,303.171101251448,0.7,0.031550999,1,0.045,166832,165126,"C",NA
"88","orf19.4702","","4",16.1,21.9456233086584,21.7,25.0702382425457,NA,0.819433123,1,0.027,167607,166705,"C",NA
"89","orf19.4701","","4",24.4,32.5621910396800,15.8,21.2800958455039,NA,0.415361481,1,0.043,168468,169394,"W",NA
"90","orf19.4699","","4",960.7,769.163994246782,867,614.320107081252,0.9,0.565011592,1,0.041,171505,169448,"C",NA
"91","orf19.4698","PTC8","4",1710.9,721.92402221001,1333.7,422.662210063110,0.8,0.008008936,1,0.054,174443,175708,"W",NA
"92","orf19.4697","MDN1","4",1006.1,963.572553735267,1124.3,1101.28316684472,1.1,0.337495475,1,0.035,191174,176061,"C",NA
"93","orf19.4691","","4",153.7,82.7645668930499,170,92.5925746631745,1.1,0.867541212,1,0.057,192792,192187,"C",NA
"94","orf19.4690","","4",1177.3,888.384117216376,711,609.172043740447,0.6,0.096746119,1,0.051,195209,196942,"W",NA
"95","orf19.4689","PGA57","4",1516.1,1449.06304729883,1134.5,1130.47605482938,0.7,0.019706783,1,0.051,197792,197148,"C",NA
"96","orf19.4688","DAG7","4",851.5,703.976201654645,3708.5,3983.28706827231,4.4,0.019713324,1,0.043,200233,199478,"C",NA
"97","orf19.4686","","4",1021.3,428.779559571619,950.5,464.674789961094,0.9,0.371986196,1,0.042,206038,202436,"C",NA
"98","orf19.4685","","4",275.7,191.216190459089,394.7,159.650857301152,1.4,0.252086849,1,0.046,206797,207114,"W",NA
"99","orf19.4684.2","RPL40B","4",10730.7,5128.04958057127,12020.9,6782.38856353575,1.1,0.761195879,1,0.125,208643,208485,"C",NA
"100","orf19.4683","MLP1","4",2455.6,862.65133242209,1785.9,589.784892276298,0.7,0.016382174,1,0.037,209114,214612,"W",NA
"101","orf19.4682","HGT17","4",8427,4712.64545270228,9047.8,4895.61047647207,1.1,0.720460349,1,0.057,217149,218987,"W",NA
"102","orf19.4681","RAT1","4",853.5,539.542880010488,681.4,389.819164955301,0.8,0.172633613,1,0.057,219462,222368,"W",NA
"103","orf19.4680","","4",135.1,74.9901519609548,179.7,103.196441989419,1.3,0.13048583,1,0.044,223559,222414,"C",NA
"104","orf19.4679","AGP2","4",788.6,745.701603583745,1193.6,839.00478090834,1.5,0.016088598,1,0.055,225566,223860,"C",NA
"105","orf19.4678","","4",432.9,161.544526549436,523.9,105.094038615700,1.2,0.117976997,1,0.078,229004,228003,"C",NA
"106","orf19.4677","","4",253.6,252.909815837024,288,302.078669131692,1.1,0.355650833,1,0.053,229969,229259,"C",NA
"107","orf19.4676","","4",260.5,80.44928826212,301.5,82.4056979652713,1.2,0.395102907,1,0.077,231137,230595,"C",NA
"108","orf19.4675","","4",215.6,150.265154643669,147.6,83.190294300541,0.7,0.12760195,1,0.083,231171,232955,"W",NA
"109","orf19.4673","BMT9","4",3.4,7.9871103437347,24.5,30.3825894345945,NA,0.077372939,1,0.056,236764,234413,"C",NA
"110","orf19.4672","","4",34.9,59.8686070763373,50,76.6657486414873,NA,0.360167862,1,0.107,240313,240615,"W",NA
"111","orf19.4670","CAS5","4",1115.1,430.611948563087,885.8,463.152176919405,0.8,0.15267055,1,0.035,241405,243870,"W",NA
"112","orf19.4669","AAT22","4",472.8,188.251476106836,597.7,319.830586279070,1.3,0.600382372,1,0.045,245382,244153,"C",NA
"113","orf19.4668","","4",73.8,70.9604306908227,101.5,90.0993273231686,1.4,0.270783835,1,0.122,248280,246127,"C",NA
"114","orf19.4666","","4",122.8,90.9337451482302,187.5,51.3945897877909,1.5,0.416955598,1,0.085,249238,248828,"C",NA
"115","orf19.4665","","4",219.4,116.054450882661,351.8,145.557872356298,1.6,0.379437148,1,0.07,250645,250043,"C",NA
"116","orf19.4664","NAT4","4",428.5,45.5654832066473,610,15.4370696701625,1.4,0.019902861,1,0.071,250950,251564,"W",NA
"117","orf19.4662","RLM1","4",122.4,105.806201483627,71.1,65.1064612348173,0.6,0.139215286,1.1,0.112,253048,254883,"W",NA
"118","orf19.4660","RPS6A","4",29691.8,20079.1735769838,26541.8,14428.3577606509,0.9,0.902408785,1,0.043,255674,256809,"W",NA
"119","orf19.4659","","4",112.6,85.914923160277,148.5,99.2990186112986,1.3,0.088563167,1,0.048,258350,257073,"C",NA
"120","orf19.4658","","4",389,140.110378306608,645.1,424.26855525593,1.7,0.364898996,1,0.05,258971,261361,"W",NA
"121","orf19.4657","","4",2638.5,727.243845309846,2511.2,863.740366357512,1,0.562417191,1,0.061,263911,265413,"W",NA
"122","orf19.4656","","4",67.5,58.5040373201674,44.1,36.3681893361899,NA,0.166491969,1,0.049,266125,268023,"W",NA
"123","orf19.4655","OPT6","4",363.9,134.365937466428,240.6,155.539330694838,0.7,0.024616716,1,0.087,270892,268055,"C",NA
"124","orf19.4654","","4",1.5,2.06050827210680,52.6,46.7117429680531,NA,0.194542132,1,0.043,272098,272427,"W",NA
"125","orf19.4653","","4",37,33.6678985420923,263.5,224.799170061874,7.1,0.005022938,1,0.057,273296,273625,"W",NA
"126","orf19.4652","","4",0,0,9.1,15.1586218014985,NA,0.422649731,0.9,0.065,274725,275036,"W",NA
"127","orf19.4651","PGA53","4",3499.4,1045.35806192695,4252.1,1502.40013069210,1.2,0.234503461,1,0.056,278273,278692,"W",NA
"128","orf19.4650","ILV6","4",2868.6,819.407622961868,2682.7,1444.64106406412,0.9,0.262318746,1,0.05,280567,281478,"W",NA
"129","orf19.4649","ZCF27","4",169.7,139.775600843037,172.1,157.206968207569,1,0.392909123,1,0.05,283245,286835,"W",NA
"130","orf19.4647","HAP3","4",27.9,40.7042723661634,25.8,23.5162791678544,NA,0.502467234,1,0.116,287709,288817,"W",NA
"131","orf19.4646","UEC1","4",0,0,0,0,NA,NA,1,0.037,291302,291739,"W",NA
"132","orf19.4645","BEM1","4",325.4,226.218686882735,295.5,140.977958293405,0.9,0.945697473,1,0.051,292116,294014,"W",NA
"133","orf19.4643","","4",559.7,535.399275545978,605.7,619.946198542907,1.1,0.40911059,1,0.051,294807,301958,"W",NA
"134","orf19.4642","","4",66,85.5319110656998,78.1,89.7927187950725,NA,0.82962369,1,0.041,303347,302091,"C",NA
"135","orf19.4641","NMT1","4",823.9,527.370424052628,749.3,475.09958535593,0.9,0.775959279,1,0.055,303654,305009,"W",NA
"136","orf19.4640","PWP1","4",1911.5,1704.22611917603,1744.3,1480.95644265211,0.9,0.732016801,1,0.073,305343,307184,"W",NA
"137","orf19.4639","","4",1183.3,811.040361938884,1726.9,1142.97237603538,1.5,0.003619844,1,0.057,307948,307274,"C",NA
"138","orf19.4637","","4",127.9,104.903303864317,161.5,105.935528514233,1.3,0.261138631,1,0.092,308265,309626,"W",NA
"139","orf19.4636","","4",0,0,13.7,11.3510030598545,NA,0.18373739,1,0.049,309905,309483,"C",NA
"140","orf19.4635","NIP1","4",1063.8,507.815560951146,849.7,479.445632307913,0.8,0.394736718,0.9,0.05,310023,312647,"W",NA
"141","orf19.4634","","4",1171.9,340.901103864645,1054.4,229.580418405630,0.9,0.138938476,1,0.07,313048,314235,"W",NA
